,Locality,Precinct ID,Precinct Name,Num Precincts
0,ACCOMACK COUNTY,"101,502,403,301,202,802,501,801,602,901,201,701,803,401,601,402","CHINCOTEAGUE,RUE,SAXIS,NEW CHURCH,GREENBACKVILLE,MELFA,MAPPSVILLE,BOBTOWN,TANGIER,PAINTER,ATLANTIC,NANDUA,WACHAPREAGUE,BLOXOM,ACCOMAC,PARKSLEY",16
1,ALEXANDRIA CITY,"110,108,207,206,202,303,104,203,205,204,107,102,308,201,105,305,209,210,106,101,103,306,111,304,208,109,307,302","CHARLES HOUSTON CENTER,GEORGE WASHINGTON MIDDLE SCH,TEMPLE BETH EL SYNAGOGUE,CHINQUAPIN PARK RECREATION CTR,GEORGE MASON SCHOOL,CHARLES E BEATLEY LIBRARY,DURANT CENTER,AGUDAS ACHIM SYNAGOGUE,DOUGLAS MACARTHUR SCHOOL,BLESSED SACRAMENT CHURCH,MT VERNON RECREATION CENTER,CITY HALL,CAMERON STATION COMMUNITY CTR,MAURY SCHOOL,LEE CENTER,JOHN ADAMS SCHOOL,JAMES K POLK SCHOOL,THE HERMITAGE,CORA KELLY,LADREY SENIOR BUILDING,LYLES CROUCH SCHOOL,WILLIAM RAMSAY SCHOOL,POTOMAC YARD,SAMUEL TUCKER SCHOOL,NOVA ARTS CENTER,FIRE DEPARTMENT HEADQUARTERS,SOUTH PORT,PATRICK HENRY REC CENTER",28
2,ALLEGHANY COUNTY,"502,501,101,402,401,202,601,201,302,701,301,103","PETERS SWITCH,IRON GATE,ARRITT,JACKSON HEIGHTS,LOW MOOR,DOLLY ANN,DISTRICT 1,HUMPBACK BRIDGE,GRIFFITH,DISTRICT 2,CALLAGHAN,DAMERON",12
3,AMELIA COUNTY,"501,401,201,301,101","NUMBER FIVE,NUMBER FOUR,NUMBER TWO,NUMBER THREE,NUMBER ONE",5
4,AMHERST COUNTY,"103,201,102,302,401,501,402,101,202,303,301","COOLWELL,COURT HOUSE,NEW GLASGOW,ELON,AMELON,MADISON,LONCO,WRIGHT SHOP,TEMPERANCE,PLEASANT VIEW,MONROE",11
5,ARLINGTON COUNTY,"039,036,020,034,038,035,011,053,043,018,019,026,041,016,023,029,032,027,028,004,013,033,030,022,002,008,021,001,010,005,044,048,003,050,014,054,031,047,007,052,009,037,025,006,051,012,017,042,049,024,015,040,045,046","ASHLAWN,MARSHALL,THRIFTON,YORKTOWN,ARLINGTON VIEW,MADISON,EAST FALLS CHURCH,MET PARK,CAMPBELL,PARK LANE,ROSSLYN,FILLMORE,NAVY LEAGUE,LYON VILLAGE,WESTOVER,DOMINION HILLS,OAKRIDGE,JEFFERSON,WAKEFIELD,BALLSTON,GLEN CARLYN,ROCK SPRING,GLEBE,ABINGDON,ASHTON HEIGHTS,HUME,VIRGINIA HIGHLANDS,ARLINGTON,WILSON,BARCROFT,DAWSON TERRACE,AUSA,AURORA HILLS,CRYSTAL PLAZA,CLARENDON,GARFIELD PARK,LEXINGTON,FOUR MILE RUN,CHERRYDALE,GUNSTON,COLUMBIA,NOTTINGHAM,ARLINGTON FOREST,CRYSTAL CITY,TAYLOR,FAIRLINGTON,OVERLEE KNOLLS,SHIRLINGTON,MONROE,WOODLAWN,LYON PARK,VIRGINIA SQUARE,BUCKINGHAM,CENTRAL",54
6,AUGUSTA COUNTY,"405,302,501,504,201,102,503,103,403,101,801,203,301,803,401,802,602,603,402,502,304,303,202,601,404","CEDAR GREEN,NORTH RIVER,GREENVILLE,WHITE HILL,CRIMORA,STUARTS DRAFT ELEMENTARY,SPOTTSWOOD,VERONA,CRAIGSVILLE,JOLIVUE,DOOMS,WEYERS CAVE,FORT DEFIANCE,WILSON,BUFFALO GAP,FISHERSVILLE,RIDGEVIEW,LYNDHURST,CHURCHVILLE ELEMENTARY,MIDDLEBROOK,CHURCHVILLE FIRE STATION,MOUNT SOLON,NEW HOPE,SHERANDO,DEERFIELD",25
7,BATH COUNTY,"301,101,201,401,102,501,302","FAIRVIEW,WARM SPRINGS,HOT SPRINGS,MILLBORO,MOUNTAIN GROVE,HEALING SPRINGS,BURNSVILLE",7
8,BEDFORD COUNTY,"502,402,505,504,304,403,503,601,306,401,301,506,404","BIG ISLAND ELEM SCHOOL,THOMAS JEFFERSON ELEM SCHOOL,BOONSBORO ELEMENTARY SCHOOL,SUCK SPRINGS BAPTIST CHURCH,THE WELL CHURCH,KNIGHTS OF COLUMBUS BLDG,SEDALIA CENTER,MONTVALE ELEM SCHOOL,FOREST FIRE STATION #2,FOREST ELEMENTARY SCHOOL,NEW LONDON ACADEMY,BOONSBORO RURITAN CLUB,ST. PAUL BAPTIST CHURCH",13
9,BLAND COUNTY,"301,202,102,201,101,401,302","HOLLYBROOK,SEDDON,CERES,DAVIS,BASTIAN,ROCKY GAP,MECHANICSBURG",7
